학번		이름	중간고사(45%)	기말고사(45%)	출결(10%)		총점	순위
============================================================================================
202021234	박민재	100				100				10			100.00		1
202028542	조강래	95				100				9			96.75		2
202021441	김현민	100				90				10			95.50		3
202029784	김상현	90				95				6			89.25		4
202026654	한상임	85				95				7			88.00		5
202026584	배효재	80				95				9			87.75		6
202028651	강민구	90				85				9			87.75		7
202021279	한재동	95				75				6			82.50		8
202021255	강서준	100				65				8			82.25		9
202021354	김효진	85				75				10			82.00		10
202027412	박재경	75				85				10			82.00		11
202025285	이동진	65				95				10			82.00		12
202022954	오길준	90				70				7			79.00		13
202021139	임민주	65				90				9			78.75		14
202023845	윤찬성	95				65				6			78.00		15
202028845	정규항	90				60				8			75.50		16
202026498	윤민우	70				60				10			68.50		17
202023358	김병식	45				80				10			66.25		18
202021658	정민교	80				55				5			65.75		19
202026659	박문주	55				70				9			65.25		20
